datetime,open,high,low,close,volume
2020-05-14 22:00:00,202.84,204.26,202.7,203.28,20845.816
2020-05-14 22:30:00,203.3,204.38,203.23,203.58,18035.136
2020-05-14 23:00:00,203.58,203.6,202.46,203.21,16199.593
2020-05-14 23:30:00,203.21,203.88,202.7,203.13,15828.33
2020-05-15 00:00:00,203.1,203.99,201.84,201.91,24931.889
2020-05-15 00:30:00,201.91,203.0,201.85,202.56,14926.643
2020-05-15 01:00:00,202.52,202.73,202.18,202.51,16274.815
2020-05-15 01:30:00,202.51,202.51,201.37,201.54,24040.807
2020-05-15 02:00:00,201.58,201.64,199.03,200.13,55029.683
2020-05-15 02:30:00,200.13,200.13,196.85,199.33,83012.556
2020-05-15 03:00:00,199.31,200.75,198.73,199.73,54040.039
2020-05-15 03:30:00,199.77,200.25,199.28,199.28,23012.936
2020-05-15 04:00:00,199.28,199.72,198.58,199.28,20080.012
2020-05-15 04:30:00,199.29,199.96,198.38,198.67,14997.127
2020-05-15 05:00:00,198.66,199.25,198.32,199.02,21664.294
2020-05-15 05:30:00,199.01,199.81,198.77,199.62,13705.529
2020-05-15 06:00:00,199.61,201.32,199.52,201.2,36945.238
2020-05-15 06:30:00,201.17,201.19,200.11,200.49,12640.189
2020-05-15 07:00:00,200.5,201.0,200.26,200.7,13068.165
2020-05-15 07:30:00,200.7,201.76,200.62,201.09,29179.957
2020-05-15 08:00:00,201.08,201.17,200.5,200.8,24265.744
2020-05-15 08:30:00,200.8,200.8,200.0,200.05,26287.529
2020-05-15 09:00:00,200.05,200.34,199.2,200.24,30192.762
2020-05-15 09:30:00,200.24,200.36,199.16,199.59,18408.842
2020-05-15 10:00:00,199.59,199.89,198.8,199.1,21516.451
2020-05-15 10:30:00,199.09,200.37,198.74,199.9,16873.885
2020-05-15 11:00:00,199.89,201.45,199.81,201.28,25217.463
2020-05-15 11:30:00,201.28,201.58,200.55,200.9,18776.396
2020-05-15 12:00:00,200.9,200.93,199.02,199.08,38143.295
2020-05-15 12:30:00,199.14,200.05,198.72,199.44,27901.097
2020-05-15 13:00:00,199.44,200.12,198.12,199.91,27048.812
2020-05-15 13:30:00,199.93,200.4,199.19,199.56,14285.125
2020-05-15 14:00:00,199.58,200.3,199.51,199.89,15978.944
2020-05-15 14:30:00,199.89,200.4,199.55,199.56,15590.536
2020-05-15 15:00:00,199.6,199.64,197.38,198.83,49050.198
2020-05-15 15:30:00,198.82,199.0,196.24,197.78,55110.627
2020-05-15 16:00:00,197.78,198.78,197.31,198.24,32440.541
