symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
ETH,1h,1.3,0.5,0.8,96,True,36,45,81,-7.868425830114877,40.26845637583892,0.6402282492114869,149
ETH,2h,1.3,0.5,0.8,96,True,28,33,61,-0.2553718873397626,43.47826086956522,1.0131571162605761,115
ETH,4h,1.3,0.5,0.8,96,True,16,19,35,-11.901206232689937,36.124853981996836,0.46653974422658834,63
BTC,1h,1.3,0.5,0.8,96,False,88,96,184,-203.8160569053286,38.89033777535312,0.600733384882585,290
BTC,2h,1.3,0.5,0.8,96,False,86,94,180,-151.11012498085637,44.261600625651724,0.8311231395094145,274
BTC,4h,1.3,0.5,0.8,96,False,46,49,95,-212.21174671938593,33.857267405654504,0.4560187157274083,70
ETH,1h,1.3,0.5,0.8,96,False,98,100,198,-8.620843878034709,41.142857142857146,0.7447657032522135,350
ETH,2h,1.3,0.5,0.8,96,False,79,93,172,-12.452512652044591,41.21405750798722,0.7989724872704314,313
ETH,4h,1.3,0.5,0.8,96,False,45,49,94,-23.275361584454753,38.460453968701536,0.6806194480706654,173
BTC,1h,1.3,0.5,1.2,24,True,15,18,33,-46.35693773035719,42.3728813559322,0.6160479679332193,59
